[2025-06-29 16:16:16] [Device 1] Communication Enabled
[2025-06-29 16:57:14] [Device 1 CH1] Output ON
[2025-06-29 16:57:15] [Device 1 CH1] Output OFF
[2025-06-29 16:57:38] [Device 1 CH2] Output ON
[2025-06-29 16:57:40] [Device 1 CH2] Output OFF
[2025-06-29 16:57:41] [Device 1 CH2] Output ON
[2025-06-29 16:57:41] [Device 1 CH2] Output OFF
[2025-07-26 16:30:12] 娴嬭瘯鏃ュ織娑堟伅 - 2025-07-26 16:30:12.100026
[2025-07-26 16:31:32] [Device 1] UDP3305S connected successfully
[2025-07-26 16:31:32] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:32] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:32] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:33] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:33] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:33] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:33] [Device 2] Connection failed: Failed to open VISA device.
[2025-07-26 16:31:33] [Device 2] Disconnected
[2025-07-26 16:31:34] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:34] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:34] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:35] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:35] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:35] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:36] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:36] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:36] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:37] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:37] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:37] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:38] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:38] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:38] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:39] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:39] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:39] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:40] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:40] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:40] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:41] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:41] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:41] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:42] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:42] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:42] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:43] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:43] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:43] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:44] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:44] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:44] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:45] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:45] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:45] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:46] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:46] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:46] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:47] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:47] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:47] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:48] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:48] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:48] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:49] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:49] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:49] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:50] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:50] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:50] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:51] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:51] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:51] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:52] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:52] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:52] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:53] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:53] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:53] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:54] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:54] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:54] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:55] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:55] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:55] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:56] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:56] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:56] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:57] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:57] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:57] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:58] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:58] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:58] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:31:59] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:31:59] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:31:59] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:00] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:00] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:00] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:01] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:01] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:01] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:02] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:02] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:02] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:03] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:03] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:03] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:04] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:04] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:04] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:05] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:05] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:05] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:05] [Device 1 CH1] Output ON
[2025-07-26 16:32:06] [Device 1 CH1] V=5.000V I=0.000A
[2025-07-26 16:32:06] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:06] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:07] [Device 1 CH1] V=4.998V I=0.000A
[2025-07-26 16:32:07] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:07] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:08] [Device 1 CH1] V=5.000V I=0.000A
[2025-07-26 16:32:08] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:08] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:09] [Device 1 CH1] V=4.998V I=0.000A
[2025-07-26 16:32:09] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:09] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:10] [Device 1 CH1] V=4.998V I=0.000A
[2025-07-26 16:32:10] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:10] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:11] [Device 1 CH1] V=5.000V I=0.000A
[2025-07-26 16:32:11] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:11] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:12] [Device 1 CH1] Output OFF
[2025-07-26 16:32:12] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:12] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:12] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:13] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:13] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:13] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:14] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:32:14] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:32:14] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:32:15] [Device 1] Disconnected
[2025-07-26 16:32:15] [Device 2] Disconnected
[2025-07-26 16:35:12] 娴嬭瘯鏃ュ織娑堟伅 - 2025-07-26 16:35:12.996738
[2025-07-26 16:35:34] [Device 1 CH1] Default parameters set: V=24.000V, I=3.000A
[2025-07-26 16:35:34] [Device 1 CH2] Default parameters set: V=24.000V, I=3.000A
[2025-07-26 16:35:34] [Device 1 CH3] Default parameters set: V=0.000V, I=0.000A
[2025-07-26 16:35:34] [Device 1] UDP3305S connected successfully
[2025-07-26 16:35:34] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:34] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:34] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:35] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:35] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:35] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:37] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:38] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:38] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:38] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:39] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:39] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:39] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:40] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:40] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:40] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:41] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:41] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:41] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:42] [Device 1 CH1] Output ON
[2025-07-26 16:35:42] [Device 1 CH1] V=23.994V I=0.001A
[2025-07-26 16:35:42] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:42] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:43] [Device 1 CH1] V=23.995V I=0.001A
[2025-07-26 16:35:43] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:43] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:44] [Device 1 CH1] V=23.995V I=0.001A
[2025-07-26 16:35:44] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:44] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:45] [Device 1 CH1] Output OFF
[2025-07-26 16:35:45] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:45] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:45] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:46] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:46] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:46] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:47] [Device 1 CH2] Output ON
[2025-07-26 16:35:47] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:47] [Device 1 CH2] V=24.000V I=0.001A
[2025-07-26 16:35:47] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:48] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:48] [Device 1 CH2] V=24.002V I=0.001A
[2025-07-26 16:35:48] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:49] [Device 1 CH2] Output OFF
[2025-07-26 16:35:49] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:49] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:49] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:50] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:50] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:50] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:51] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:51] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:51] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:52] [Device 1 CH3] Output ON
[2025-07-26 16:35:52] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:52] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:52] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH3] Output OFF
[2025-07-26 16:35:54] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:54] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:55] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:55] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:55] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:56] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:56] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:56] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:57] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:57] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:57] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:58] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:58] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:58] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:35:59] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:35:59] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:35:59] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:00] [Device 1 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:00] [Device 1 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:00] [Device 1 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:01] [Device 1] Disconnected
[2025-07-26 16:36:12] [Device 2 CH1] Default parameters set: V=24.000V, I=1.000A
[2025-07-26 16:36:12] [Device 2 CH2] Default parameters set: V=24.000V, I=1.000A
[2025-07-26 16:36:12] [Device 2 CH3] Default parameters set: V=0.000V, I=0.000A
[2025-07-26 16:36:12] [Device 2] DP832 connected successfully
[2025-07-26 16:36:12] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:12] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:12] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:13] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:13] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:13] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH1] Output ON
[2025-07-26 16:36:15] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:15] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:16] [Device 2 CH1] V=24.000V I=0.000A
[2025-07-26 16:36:16] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:16] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:17] [Device 2 CH1] Output OFF
[2025-07-26 16:36:17] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:17] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:17] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:18] [Device 2 CH2] Output ON
[2025-07-26 16:36:18] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:18] [Device 2 CH2] V=0.010V I=0.000A
[2025-07-26 16:36:18] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:19] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:19] [Device 2 CH2] V=24.010V I=0.000A
[2025-07-26 16:36:19] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:20] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:20] [Device 2 CH2] V=24.010V I=0.000A
[2025-07-26 16:36:20] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:21] [Device 2 CH2] Output OFF
[2025-07-26 16:36:21] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:21] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:21] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:22] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:22] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:22] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:23] [Device 2 CH3] Output ON
[2025-07-26 16:36:23] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:23] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:23] [Device 2 CH3] V=0.000V I=0.001A
[2025-07-26 16:36:24] [Device 2 CH3] Output OFF
[2025-07-26 16:36:24] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:24] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:24] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:25] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:25] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:25] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:26] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:26] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:26] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:27] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:27] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:27] [Device 2 CH3] V=0.000V I=0.000A
[2025-07-26 16:36:28] [Device 2 CH1] V=0.000V I=0.000A
[2025-07-26 16:36:28] [Device 2 CH2] V=0.000V I=0.000A
[2025-07-26 16:36:28] [Device 2 CH3] V=0.000V I=0.000A
